Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below.
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"13. Fill in blank: The term ""Good Clinical Practices"" should be translated into European Portuguese as _______.",A ) Boas práticas médicas,B ) Boas normas clinicas,C ) Normas clinicamente boas,D ) Boas práticas clínicas,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,14. How would you translate “Informed consent form” into European Portuguese?,A) Resultado do consentimento informado,B) Formulário para consentimento informado,C) Consentimento informado formalizado,D) Formulário de Consentimento Informado e Esclarecido,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,15. What is the correct translation for “Investigational Medicinal Product”?,A) Produto farmacêutico em investigação,B) Medicamento sob análise experimental,C) Medicamento em fase investigativa,D) Medicamento experimental,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"16. Fill in the blank: The term ""Investigator's Brochure"" is best translated as _______ in European Portuguese.",A) Catálogo do investigador,B) Brochura do investigador,C) Manual do investigador,D) Folheto do investigador,2,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"17. True or False: ""Visita de monitorização"" is the correct translation for ""Monitoring Visit.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,18. What is the correct translation for “Multicenter clinical trial”?,A) Teste clínico multicêntrico,B) Ensaio clínico multicêntrico,C) Estudo clínico multicêntrico,D) Avaliação clínica de múltiplos centros,3,Yes,Yes,Yes,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,19. How would you translate “Participant/subject” into European Portuguese?,A) Participante,B) Sujeito,C) Assunto,D) Interveniente,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"20. Fill in the blank: _______ is how you say ""Principal Investigator"" in European Portuguese.",A) Investigador chefe,B) Investigador líder,C) Investigador principal ,D) Principal pesquisador,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,21. Choose the correct translation for “Randomisation”:,A ) Aleatorização,B ) Randomização,C ) Sorteio aleatório,D ) Seleção aleatória,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"22. What is the translation for ""Regulatory agencies"" in European Portuguese?",A ) Órgãos reguladores,B ) Agências de regulação,C ) Autoridades reguladoras,D ) Entidades normativas,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"23. True or False: ""Comissão de Ética para a Investigação Clínica"" correctly translates to “Research Ethics Committee.”",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"24. Fill in blank: The term ""Research protocol"" should be translated into European Portuguese as _______.",A ) Protocolo de ensaio,B ) Protocolo de pesquisa,C ) Protocolo de investigação,D ) Metodologia de pesquisa,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,25. How would you translate “Serious Adverse Event” into European Portuguese?,A) Evento adverso significativo,B) Incidente adverso grave,C) Evento adversário sério,D) Acontecimento adverso grave,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"26. Fill in the blank: ""Baseline"" is translated as _______ in European Portuguese.",A) Ponto de partida,B) Linha de base,C) Linha basal,D) Base de referência,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,27. What is the correct translation for “Chicken pox infection”?,A) Infecção varicelosa,B) Infecção por catapora,C) Varicela,D) Gripe da aves,3,Yes,No,No,Yes,Yes,"Please note the typo in option 4. It should read ""Gripe das aves"". Also, infecção, which appears in both options 1 and 2, should be ""infeção""."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"28. True or False: ""Análise sanguínea"" is the correct translation for ""Blood test.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,29. How would you translate “Child-bearing potential” into European Portuguese?,A) Potencial de procriação,B) Fertilidade potencial,C) Em fase de reprodução,D) Em período fértil,4,Yes,Yes,No,Yes,Yes,"I believe that ""em idade fértil"" is also a very common translation for this expression that you should consider."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"30. Fill in the blank: The term ""Clinical pharmacology study"" can be translated as _______ in European Portuguese.",A) Estudo farmacológico clínico,B) Pesquisa clínica farmacológica,C) Estudo clínico de farmacologia,D) Estudo clínico de medicamento,4,Yes,No,Yes,No,Yes,"In my opinion, option #3 ""estudo clínico de farmacologia"" is the best option."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,31. Choose the correct translation for “Cervical cap”:,A ) Tampa cervical,B ) Capuz cervical,C ) Anel vaginal,D ) Capa cervical,3,Yes,No,Yes,No,Yes,"In my opinion, option #2 ""capuz cervical"" is the best option."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"32. What is the translation for ""Disposable instruments"" in European Portuguese?",A ) Utensílios descartáveis,B ) Ferramentas descartáveis,C ) Instrumentos descartáveis,D ) Material descartável,4,Yes,No,Yes,No,Yes,"In my opinion, option #3 ""instrumentos descartáveis"" is the best option."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"33. True or False: ""Exequibilidade"" correctly translates to “Feasibility.”",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"34. Fill in blank: The term ""Functional loss"" should be translated into European Portuguese as _______.",A) Funcionalismo perdido,B ) Perda de função,C ) Declínio funcional,D ) Incapacidade funcional,2,Yes,Yes,Yes,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,35. How would you translate “Health outcome” into European Portuguese?,A) Resultados na melhoria do estado de saúde,B) Desfecho de saúde,C) Consequência de saúde,D) Efeito na saúde,1,Yes,No,Yes,No,Yes,"The first option is too wordy. I would suggest something like ""resultado de saúde"". There are 160K hits in Google with this same meaning."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"36. Fill in the blank: ""Investigator initiated study"" is translated as _______ in European Portuguese.",A) Estudo por iniciativa do investigador,B) Estudo iniciado pelo investigador,C) Pesquisa originada pelo investigador,D) Análise iniciada pelo responsável da pesquisa,1,Yes,No,Yes,Yes,Yes,"Both options #1 and 2 are synonyms and could be used interchangeably. Option #2 is probably even more used than option #1. I suggest changing one of them into something different, to avoid ambiguity."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"37. True or False: ""Terapêutica de partículas"" is the correct translation for ""Particle therapy.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,"""Terapia de partículas"" is a term even more widely used for ""particle therapy""."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,38. How would you translate “Myocardial infarction” into European Portuguese?,A) Infarto do miocárdio,B) Enfarte do miocárdio,C) Ataque cardíaco,D) Isquemia miocárdica,2,Yes,Yes,Yes,Yes,Yes,"""Infarto do miocárdio"" is the term used in Brazil, but it could be misleading to use it. Maybe a totally different terms could be used."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,39. Choose the correct translation for “Prevention and early detection”:,A) Prevenção e detecção antecipada,B) Prevenção e diagnóstico precoce,C) Prevenção e reconhecimento inicial,D) Prevenção e detecção precoce,4,Yes,Yes,Yes,Yes,Yes,"Option #1 is a synonym, so it could cause some ambiguity. I would suggest to change it. Also, please note that ""detecção"" has a typo: it should be ""deteção""."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"40. What is the translation for ""Research grant"" in European Portuguese?",A) Financiamento de pesquisa,B) Bolsa de estudo,C) Subsídio para investigação,D) Auxílio de pesquisa,2,Yes,No,Yes,No,Yes,"""Bolsa de estudo"" is a term used more in relation to students in universities. For clinical trials, I think that ""subsídio de investigação"" is a much more appropriate term."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"41. Fill in the blank: The term ""Relapsing forms of multiple sclerosis"" can be translated as _______ in European Portuguese.",A) Formas recidivantes de esclerose múltipla,B) Formas recorrentes de esclerose múltipla,C) Formas regressivas de esclerose múltipla,D) Formas de esclerose múltipla recorrente remissiva,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"42. True or False: ""Consultas marcadas"" correctly translates to “Scheduled visits.”",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,43. How would you translate “Tinnitus treatment” into European Portuguese?,A ) Tratamento para zumbidos,B ) Terapia para tinnitus,C ) Tratamento para tinido,D ) Tratamento do zumbido,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,44. What is the correct translation for “Seizures”?,A ) Convulsões,B ) Síncope,C ) Espasmos,D ) Ataques,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"45. Fill in blank: The term ""Prescription drug"" should be translated into European Portuguese as _______.",A ) Medicação prescrita,B ) Droga receitada,C ) Medicamento com receita médica ,D ) Remédio sob prescrição,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"46. Choose the correct translation for ""Site Initiation Visit"":",A) Visita de iniciação do local,B) Visita de início ,C) Visita inicial de site,D) Início da visita ao local,2,Yes,No,No,Yes,Yes,"Again, when it comes to ""visit"", I think visita is incorrect. All instances should include ""consulta"" instead."
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"47. How do you say ""Sponsor"" in European Portuguese related to a clinical trial?",A) Patrocinador,B) Financiador,C) Apoiante,D) Promotor,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"48. True or False: ""Equipa de investigação"" is the correct translation for ""Study staff.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"49. Fill in the blank: The term ""Baseline"" should be translated into European Portuguese as _______.",A) Ponto inicial,B) Fundamento básico,C) Linha basal,D) Nível base,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,50. What is the correct translation for “Disposable instruments”?,A) Instrumentos descartáveis,B) Ferramentas descartáveis,C) Equipamentos para uso único,D) Material descartável,4,Yes,No,Yes,Yes,Yes,"""Material"" is a broad term and doesn't specifically refer to instruments. It can mean a wide variety of things; therefore, I think ""instrumentos descartáveis"" is more accurate."
