Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below.
General Medical Information,QB2,English,11. Which term refers to the surgical removal of the gallbladder?,A) Cholecystectomy,B) Hysterectomy,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,12. What is the medical term for inflammation of the stomach lining?,A) Gastritis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,13. Which condition is characterized by the excessive loss of body water?,A) Dehydration,B) Malnutrition,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,14. What does the term 'Hypothyroidism' refer to?,A) Overactive thyroid gland,B) Underactive thyroid gland,,,2,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,15. Which term refers to the inflammation of the bladder?,A) Cystitis,B) Nephritis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,16. What is the medical term for high blood pressure?,A) Hypertension,B) Hypotension,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,17. Which condition is characterized by the excessive accumulation of fluid in tissues?,A) Edema,B) Anemia,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,18. What does the term 'Osteoporosis' refer to?,A) Bone loss,B) Bone cancer,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,19. Which term refers to the surgical removal of a kidney?,A) Nephrectomy,B) Pneumonectomy,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,20. What is the medical term for inflammation of the joints?,A) Arthritis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,21. Which condition is characterized by the abnormal growth of cells?,A) Cancer,B) Anemia,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,22. What does the term 'Dysphagia' refer to?,A) Difficulty in swallowing,B) Difficulty in breathing,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,23. Which term refers to the inflammation of the colon?,A) Colitis,B) Cystitis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,24. What is the medical term for inflammation of the pancreas?,A) Pancreatitis,Gastritis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,25. Which condition is characterized by the inflammation of the brain?,A) Encephalitis,B) Meningitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,26. What does the term 'Hyperthyroidism' refer to?,A) Overactive thyroid gland,B) Underactive thyroid gland,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,27. Which term refers to the surgical removal of the uterus?,A) Hysterectomy,B) Nephrectomy,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,28. What is the medical term for inflammation of the skin?,A) Dermatitis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,29. Which condition is characterized by the inflammation of the spinal cord?,A) Myelitis,B) Meningitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,30. What does the term 'Leukemia' refer to?,A) Bone cancer,B) Blood cancer,,,2,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,31. Which term refers to the inflammation of the lungs?,A) Pneumonitis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,32. What is the medical term for inflammation of the esophagus?,A) Esophagitis,B) Gastritis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,33. Which condition is characterized by the inflammation of the eye's cornea?,A) Keratitis,B) Conjunctivitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,34. What does the term 'Bradycardia' refer to?,A) Fast heart rate,B) Slow heart rate,,,2,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,35. Which term refers to the inflammation of the lining of the heart?,A) Endocarditis,B) Myocarditis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,36. What is the medical term for inflammation of the bone marrow and bone?,A) Osteomyelitis,B) Arthritis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,37. Which condition is characterized by the inflammation of the lining of the brain and spinal cord?,A) Meningitis,B) Encephalitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,38. What does the term 'Tachycardia' refer to?,A) Fast heart rate,B) Slow heart rate,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,39. Which term refers to the inflammation of the thyroid gland?,A) Thyroiditis,B) Hepatitis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,40. What is the medical term for inflammation of the tonsils?,A) Tonsillitis,B) Gastritis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,41. Which condition is characterized by the inflammation of the eye's conjunctiva?,A) Conjunctivitis,B) Keratitis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,42. What does the term 'Atherosclerosis' refer to?,A) Hardening of the arteries,B) Inflammation of the arteries,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,43. Which term refers to the inflammation of the sinuses?,A) Sinusitis,B) Hepatitis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,44. What is the medical term for inflammation of the ear?,A) Otitis,B) Gastritis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,45. Which condition is characterized by the inflammation of the bronchi?,A) Hepatitis,B) Bronchitis,,,2,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,46. What does the term 'Rhinoplasty' refer to?,A) Nose job,B) Face lift,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,47. Which term refers to the inflammation of the blood vessels?,A) Vasculitis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,48. What is the medical term for inflammation of the gums?,A) Gingivitis,B) Gastritis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,49. Which condition is characterized by the inflammation of the prostate gland?,A) Prostatitis,B) Hepatitis,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,50. What does the term 'Liposuction' refer to?,A) Fat removal surgery,B) Skin tightening surgery,,,1,Yes,Yes,No,Yes,Yes,
